draw_date,winning_numbers,num1,num2,num3,num4,num5,num6
2019-01-30,01 22 36 44 49 59,1,22,36,44,49,59
2019-02-02,20 30 39 45 46 53,20,30,39,45,46,53
2019-02-06,24 26 33 35 37 52,24,26,33,35,37,52
2019-02-09,03 09 12 23 36 53,3,9,12,23,36,53
2019-02-13,03 10 17 36 50 57,3,10,17,36,50,57
2019-02-16,02 04 39 46 51 58,2,4,39,46,51,58
2019-02-20,16 25 29 32 50 59,16,25,29,32,50,59
2019-02-23,10 20 33 40 54 56,10,20,33,40,54,56
2019-02-27,12 18 22 36 41 48,12,18,22,36,41,48
2019-03-02,06 10 15 50 52 56,6,10,15,50,52,56
2019-03-06,05 08 11 14 32 36,5,8,11,14,32,36
2019-03-09,17 20 21 43 46 52,17,20,21,43,46,52
2019-03-13,11 15 29 38 52 54,11,15,29,38,52,54
2019-03-16,01 04 27 40 44 58,1,4,27,40,44,58
2019-03-20,04 06 08 12 15 55,4,6,8,12,15,55
2019-03-23,07 18 19 33 36 57,7,18,19,33,36,57
2019-03-27,34 36 38 40 41 55,34,36,38,40,41,55
2019-03-30,18 25 43 51 52 56,18,25,43,51,52,56
2019-04-03,04 21 31 34 43 44,4,21,31,34,43,44
2019-04-06,06 09 16 20 26 41,6,9,16,20,26,41
2019-04-10,04 07 31 39 47 51,4,7,31,39,47,51
2019-04-13,12 20 35 39 50 53,12,20,35,39,50,53
2019-04-17,02 03 18 30 52 53,2,3,18,30,52,53
2019-04-20,02 10 16 17 47 58,2,10,16,17,47,58
2019-04-24,02 28 37 43 46 49,2,28,37,43,46,49
2019-04-27,31 33 48 52 55 59,31,33,48,52,55,59
2019-05-01,08 09 24 27 36 37,8,9,24,27,36,37
2019-05-04,08 19 50 51 52 55,8,19,50,51,52,55
2019-05-08,03 07 14 28 49 54,3,7,14,28,49,54
2019-05-11,04 26 31 38 39 49,4,26,31,38,39,49
2019-05-15,06 16 17 26 29 48,6,16,17,26,29,48
2019-05-18,18 21 23 46 54 59,18,21,23,46,54,59
2019-05-22,06 18 36 54 55 57,6,18,36,54,55,57
2019-05-25,15 22 24 42 50 53,15,22,24,42,50,53
2019-05-29,06 12 15 24 31 42,6,12,15,24,31,42
2019-06-01,01 10 13 23 31 32,1,10,13,23,31,32
2019-06-05,08 18 28 31 36 54,8,18,28,31,36,54
2019-06-08,05 06 14 37 47 52,5,6,14,37,47,52
2019-06-12,17 21 22 32 37 41,17,21,22,32,37,41
2019-06-15,03 14 20 21 24 34,3,14,20,21,24,34
